monkey,rt,coh,correct,trgchoice
1,0.79,0.0,1.0,2.0
1,0.784,0.128,1.0,1.0
1,0.486,0.512,1.0,2.0
1,0.939,0.128,0.0,1.0
1,0.651,0.256,1.0,1.0
1,0.981,0.0,1.0,1.0
1,0.915,0.064,1.0,2.0
1,0.66,0.032,1.0,1.0
1,0.413,0.256,1.0,2.0
1,0.881,0.032,0.0,1.0
1,0.698,0.064,0.0,2.0
1,0.568,0.512,1.0,1.0
1,0.645,0.256,1.0,1.0
1,0.923,0.0,1.0,2.0
1,0.486,0.512,1.0,1.0
1,1.085,0.128,1.0,1.0
1,0.383,0.512,1.0,2.0
1,0.813,0.032,0.0,1.0
1,0.905,0.032,0.0,2.0
1,0.628,0.0,1.0,1.0
1,0.432,0.256,1.0,2.0
1,0.944,0.064,1.0,2.0
1,0.682,0.064,1.0,1.0
1,0.617,0.128,1.0,2.0
1,0.82,0.064,1.0,2.0
1,0.611,0.032,0.0,2.0
1,0.756,0.032,0.0,1.0
1,0.682,0.128,1.0,1.0
1,0.598,0.512,1.0,1.0
1,0.731,0.0,0.0,1.0
1,0.768,0.0,0.0,2.0
1,0.446,0.512,1.0,2.0
1,0.915,0.064,0.0,2.0
1,0.688,0.128,1.0,2.0
1,0.595,0.256,1.0,2.0
1,0.705,0.256,1.0,1.0
1,0.677,0.512,1.0,1.0
1,0.967,0.0,0.0,1.0
1,0.687,0.128,1.0,1.0
1,0.639,0.128,1.0,2.0
1,0.798,0.032,1.0,2.0
1,0.542,0.512,1.0,2.0
1,0.847,0.064,1.0,2.0
1,0.598,0.0,1.0,1.0
1,0.588,0.256,1.0,2.0
1,0.704,0.256,1.0,1.0
1,1.007,0.032,0.0,2.0
1,0.994,0.128,0.0,1.0
1,0.789,0.064,0.0,1.0
1,1.04,0.064,1.0,1.0
1,0.773,0.032,0.0,1.0
1,0.682,0.032,1.0,1.0
1,0.461,0.512,1.0,2.0
1,0.78,0.0,0.0,1.0
1,0.476,0.128,1.0,1.0
1,0.554,0.256,1.0,2.0
1,0.842,0.0,1.0,1.0
1,0.455,0.512,1.0,1.0
1,0.566,0.256,1.0,1.0
1,0.624,0.512,1.0,2.0
1,0.789,0.128,1.0,1.0
1,0.459,0.512,1.0,1.0
1,0.825,0.0,0.0,1.0
1,0.847,0.032,1.0,2.0
1,0.569,0.256,1.0,2.0
1,0.699,0.128,1.0,2.0
1,0.562,0.064,1.0,1.0
1,0.718,0.256,1.0,1.0
1,0.58,0.0,0.0,2.0
1,0.533,0.064,1.0,2.0
1,0.601,0.032,1.0,1.0
1,0.681,0.128,1.0,1.0
1,0.549,0.128,1.0,2.0
1,0.536,0.256,1.0,2.0
1,0.433,0.512,1.0,1.0
1,0.612,0.0,1.0,2.0
1,0.904,0.032,0.0,1.0
1,0.677,0.064,1.0,2.0
1,0.881,0.0,0.0,2.0
1,0.579,0.256,1.0,1.0
1,0.394,0.512,1.0,2.0
1,0.714,0.032,1.0,1.0
1,0.822,0.064,0.0,2.0
1,0.704,0.032,0.0,2.0
1,0.734,0.064,0.0,1.0
1,0.376,0.512,1.0,2.0
1,0.552,0.032,1.0,2.0
1,0.578,0.512,1.0,1.0
1,0.648,0.0,0.0,2.0
1,0.575,0.256,1.0,1.0
1,0.521,0.0,1.0,2.0
1,1.367,0.064,1.0,1.0
1,0.575,0.128,1.0,1.0
1,0.788,0.128,1.0,2.0
1,0.666,0.256,1.0,2.0
1,0.465,0.032,1.0,1.0
1,0.613,0.032,1.0,2.0
1,0.649,0.0,1.0,1.0
1,0.593,0.256,1.0,2.0
1,0.693,0.0,0.0,1.0
1,0.714,0.128,1.0,1.0
1,0.688,0.256,1.0,1.0
1,0.787,0.128,1.0,2.0
1,0.575,0.512,1.0,1.0
1,0.559,0.064,1.0,2.0
1,0.558,0.512,1.0,2.0
1,0.641,0.064,1.0,1.0
1,0.677,0.128,1.0,2.0
1,0.722,0.0,1.0,1.0
1,0.852,0.0,0.0,1.0
1,0.638,0.032,0.0,2.0
1,0.552,0.256,1.0,2.0
1,0.678,0.256,1.0,1.0
1,0.593,0.032,1.0,2.0
1,0.388,0.512,1.0,2.0
1,0.664,0.512,1.0,1.0
1,0.955,0.064,1.0,1.0
1,0.737,0.128,1.0,1.0
1,0.54,0.064,1.0,2.0
1,0.347,0.512,1.0,2.0
1,0.757,0.032,0.0,2.0
1,0.744,0.128,1.0,2.0
1,0.778,0.064,1.0,1.0
1,0.623,0.256,1.0,1.0
1,1.175,0.0,1.0,1.0
1,0.692,0.032,1.0,2.0
1,0.481,0.512,1.0,1.0
1,0.659,0.064,1.0,2.0
1,0.677,0.256,1.0,2.0
1,0.903,0.0,0.0,1.0
1,0.784,0.128,1.0,1.0
1,0.425,0.512,1.0,2.0
1,0.45,0.256,1.0,2.0
1,0.679,0.064,1.0,2.0
1,0.589,0.0,0.0,1.0
1,0.632,0.0,0.0,2.0
1,0.821,0.032,1.0,1.0
1,0.588,0.128,1.0,2.0
1,0.779,0.032,0.0,1.0
1,0.624,0.256,1.0,1.0
1,0.613,0.128,1.0,1.0
1,0.701,0.064,1.0,1.0
1,0.437,0.512,1.0,1.0
1,0.645,0.256,1.0,1.0
1,0.733,0.0,1.0,2.0
1,1.04,0.032,1.0,2.0
1,0.808,0.064,1.0,1.0
1,0.635,0.032,1.0,1.0
1,0.679,0.128,1.0,2.0
1,0.619,0.064,1.0,2.0
1,0.802,0.128,1.0,1.0
1,0.806,0.0,0.0,2.0
1,0.632,0.512,1.0,2.0
1,0.462,0.512,1.0,1.0
1,0.38,0.256,1.0,2.0
1,0.434,0.512,1.0,2.0
1,0.867,0.032,1.0,2.0
1,0.748,0.0,0.0,2.0
1,0.611,0.064,0.0,1.0
1,0.712,0.128,1.0,2.0
1,0.935,0.128,1.0,1.0
1,0.839,0.064,0.0,2.0
1,0.746,0.032,1.0,1.0
1,0.459,0.512,1.0,1.0
1,0.77,0.0,0.0,1.0
1,0.726,0.256,1.0,1.0
1,0.649,0.256,1.0,2.0
1,1.03,0.032,0.0,2.0
1,0.663,0.128,1.0,2.0
1,1.217,0.0,0.0,2.0
1,0.455,0.256,1.0,1.0
1,0.574,0.512,1.0,1.0
1,0.46,0.512,1.0,2.0
1,0.72,0.064,1.0,2.0
1,0.741,0.128,1.0,1.0
1,0.891,0.064,1.0,1.0
1,0.841,0.032,1.0,2.0
1,0.919,0.0,1.0,2.0
1,0.649,0.256,1.0,2.0
1,0.995,0.032,0.0,1.0
1,0.777,0.064,0.0,1.0
1,1.192,0.032,0.0,2.0
1,0.52,0.512,1.0,1.0
1,0.742,0.256,1.0,2.0
1,1.097,0.0,0.0,1.0
1,0.741,0.256,1.0,1.0
1,1.103,0.0,0.0,2.0
1,0.749,0.128,1.0,2.0
1,0.778,0.064,1.0,1.0
1,0.711,0.128,1.0,1.0
1,0.665,0.512,1.0,2.0
1,1.377,0.0,0.0,2.0
